DNA,Philab Holdings Corp.,2.86 (0.00%),2.86,6.65 (132.52%),2.8,,
DNL,"D and L Industries, Inc.",10.4 (-3.53%),10.78,12.76 (22.69%),9.55,23.111,0.24 (2.31%)
DWC,Discovery World Corporation,2.02 (-4.72%),2.12,4.2 (107.92%),2,,
EAGLE,Eagle Cement Corporation,15.3 (0.13%),15.28,16.68 (9.02%),13.82,,
ECP,"Easycall Comm. Phils., Inc.",5 (1.83%),4.91,"76.5 (1,430.00%)",3.26,55.556,
EDC,Energy Development Corporation,6.87 (0.00%),6.87,8.09 (17.76%),4.92,16.88,
EEI,EEI Corporation,8.52 (-3.95%),8.87,13.6 (59.62%),7.75,43.558,
EG,IP E-Game Ventures Inc.,0.0094 (0.00%),0.0094,0.016 (70.21%),0.0086,2.35,
ELI,"Empire East Land Holdings, Inc.",0.49 (-5.77%),0.52,0.75 (53.06%),0.49,13.243,
EMP,Emperador Inc.,6.95 (-0.29%),6.97,8.96 (28.92%),6.85,,
EURO,"Euro-Med Laboratories Phil., Inc.",1.5 (2.74%),1.46,1.93 (28.67%),1.46,25.00,0.05 (3.33%)
EVER,"Ever Gotesco Resources and Hold'gs, Inc.",0.104 (0.00%),0.104,0.164 (57.69%),0.103,2.476,
EW,East West Banking Corporation,10.7 (0.94%),10.6,24.07 (124.95%),10.28,7.431,0.33 (6.17%)
FAF,First Abacus Financial Holdings Corp.,0.54 (0.00%),0.54,0.73 (35.19%),0.54,180.00,
FB,"San Miguel Food and Beverage, Inc.",83.6 (-0.24%),83.8,104 (24.40%),48.2,,4.50 (5.38%)
FBP2,"San Miguel Food and Beverage, Inc. Preferred",990 (0.00%),990,1020 (3.03%),920,,
FDC,Filinvest Development Corporation,8.1 (6.58%),7.6,8.1 (0.00%),6.83,17.234,0.06 (0.74%)
FERRO,"Ferronoux Holdings, Inc.",3.85 (1.32%),3.8,4.75 (23.38%),3,,
FEU,"Far Eastern University, Inc.",950 (0.00%),950,1020 (7.37%),890,18.171,8.00 (0.84%)
FFI,"Filipino Fund, Inc.",7.81 (0.00%),7.81,14.24 (82.33%),7,20.553,
FGEN,First Gen Corporation,17.1 (-1.16%),17.3,18.2 (6.43%),14.1,10.179,0.35 (2.05%)
FGENG,First Gen Corporation - Series G Pref.,102.5 (0.00%),102.5,118.4 (15.51%),90.4,,
FJP,"F and J Prince Holdings Corp. ""A""",4.6 (-15.60%),5.45,8.61 (87.17%),2.91,12.778,
FJPB,"F and J Prince Holdings Corp. ""B""",5 (0.00%),5,6.38 (27.60%),4.5,,
FLI,"Filinvest Land, Inc.",1.43 (-0.69%),1.44,1.94 (35.66%),1.4,6.81,0.06 (4.20%)
FMETF,First Metro Philippine Equity ETF,108.3 (-0.09%),108.4,133.2 (22.99%),102.6,,
FNI,"Global Ferronickel Holdings, Inc.",1.71 (-0.58%),1.72,2.92 (70.76%),1.67,,
FOOD,"Alliance Select Foods Int'l, Inc.",1.08 (1.89%),1.06,1.3 (20.37%),0.52,19.636,
FPH,First Phil. Holdings Corp.,63.3 (0.00%),63.3,69 (9.00%),60.75,6.604,2.00 (3.16%)
FPHP,First Phil. Holdings Corp. Pref Series B,101.4 (0.00%),101.4,108 (6.51%),100.5,,
FPI,"Forum Pacific, Inc.",0.21 (-10.64%),0.235,0.27 (28.57%),0.18,-6.774,
GEO,"GEOGRACE Resources Philippines, Inc.",0.201 (-0.99%),0.203,0.275 (36.82%),0.175,31.406,
GERI,"Global-Estate Resorts, Inc.",1 (0.00%),1,1.63 (63.00%),0.96,15.152,
GLO,"Globe Telecom, Inc.",1920 (-4.29%),2006,2380 (23.96%),1475,15.985,91.00 (4.74%)
GLOPA,"Globe Telecom, Inc - Preferred ""A""",5 (0.00%),5,0 (),0,,30.00 (600.00%)
GLOPP,"Globe Telecom, Inc. - Perpetual Pref.",450 (0.00%),450,539.5 (19.89%),441,,5.20 (1.16%)
GMA7,"GMA Network, Inc.",5.25 (-0.38%),5.27,6.55 (24.76%),4.99,12.069,0.73 (13.90%)
GMAP,"GMA Holdings, Inc. ""PDR""",5.19 (-1.14%),5.25,6.4 (23.31%),4.91,,
GPH,Grand Plaza Hotel Corporation,11 (0.00%),11,22.75 (106.82%),8,,
GREEN,"Greenergy Holdings, Inc.",1.64 (0.00%),1.64,2.4 (46.34%),1.23,-364.279,
GSMI,Ginebra San Miguel Inc.,23.1 (-0.86%),23.3,32.9 (42.42%),17.32,-6.489,
GTCAP,"GT Capital Holdings, Inc.",885 (-1.61%),899.5,1400.97 (58.30%),660.5,12.728,
GTPPA,"GT Capital Non-Voting Perpetual Pref ""A""",925 (0.00%),925,1050 (13.51%),832,,46.30 (5.01%)
GTPPB,"GT Capital Non-Voting Perpetual Pref ""B""",925 (0.00%),925,1040 (12.43%),881.5,,50.95 (5.51%)
H2O,Philippine H2O Ventures Corporation,4.62 (3.13%),4.48,10.8 (133.77%),4.02,28.966,
HI,"House of Investments, Inc.",5.88 (-0.34%),5.9,9 (53.06%),5.7,3.637,0.07 (1.19%)
HLCM,"Holcim Philippines, Inc.",6.53 (2.03%),6.4,12 (83.77%),5.78,5.183,0.98 (15.01%)
HOUSE,"8990 Holdings, Inc.",7.3 (-2.28%),7.47,7.96 (9.04%),5.37,,0.05 (0.68%)
HVN,"Golden Haven Memorial Park, Inc.",320 (0.00%),320,392 (22.50%),17.02,,
I,"I-Remit, Inc.",1.56 (2.63%),1.52,2.15 (37.82%),1.38,75.00,0.03 (1.92%)
ICT,"Int'l Container Terminal Services, Inc.",93.9 (-0.63%),94.5,115 (22.47%),76.95,187.80,2.47 (2.63%)
IDC,Italpinas Development Corporation,4.06 (-0.25%),4.07,10.32 (154.19%),3.1,,
IMI,"Integrated Micro-Electronics, Inc.",7.51 (-1.31%),7.61,21.66 (188.42%),7.4,11.044,0.00 (0.00%)
IMP,"Imperial Resources, Inc.",1.8 (0.56%),1.79,3.72 (106.67%),1.63,-25.714,
ION,"Ionics, Inc.",1.48 (0.00%),1.48,3.2 (116.22%),1.46,9.25,
IPM,"IPM Holdings, Inc.",7.2 (0.00%),7.2,9 (25.00%),7.05,,
IPO,"iPeople, Inc.",10.12 (0.00%),10.12,16.5 (63.04%),10.02,10.229,0.24 (2.37%)
IRC,"IRC Properties, Inc.",2.51 (2.03%),2.46,2.97 (18.33%),0.66,83.667,
IS,"Island Information and Technology, Inc.",0.098 (2.08%),0.096,0.178 (81.63%),0.08,"7,941.914",
ISM,ISM Communications Corporation,6.3 (-18.60%),7.74,8.62 (36.83%),1.32,94.03,
JAS,"Jackstones, Inc.",3.44 (1.47%),3.39,5.62 (63.37%),2.85,,
JFC,Jollibee Foods Corporation,282 (1.08%),279,305.4 (8.30%),240.2,61.065,2.18 (0.77%)
JGS,"JG Summit Holdings, Inc.",47 (0.00%),47,81 (72.34%),41.3,14.873,0.28 (0.60%)
JOH,Jolliville Holdings Corporation,4.32 (0.00%),4.32,7.7 (78.24%),4.29,5.084,
KEP,"Keppel Philippines Properties, Inc.",4.09 (0.00%),4.09,5 (22.25%),4.01,409.00,
KPH,"Keppel Philippines Holdings, Inc. ""A""",3.54 (0.00%),3.54,6.6 (86.44%),3.46,16.239,
KPHB,"Keppel Philippines Holdings, Inc. ""B""",4.51 (0.00%),4.51,6.38 (41.46%),2.94,20.688,
LAND,"City and Land Developers, Inc.",0.85 (0.00%),0.85,1.13 (32.94%),0.52,14.167,0.01 (7.84%)
LBC,"LBC Express Holdings, Inc.",13.82 (-3.22%),14.28,19.9 (43.99%),13.52,,0.58 (4.20%)
LC,"Lepanto Consolidated Mining Co. ""A""",0.094 (-3.09%),0.097,0.165 (75.53%),0.092,1.181,
LCB,"Lepanto Consolidated Mining Co. ""B""",0.098 (-2.97%),0.101,0.169 (72.45%),0.095,1.231,
LFM,"Liberty Flour Mills, Inc.",58.9 (16.52%),50.55,70 (18.85%),26.4,53.545,
LIHC,Lodestar Investment Hldgs Corp.,0.52 (0.00%),0.52,0.8 (53.85%),0.48,-86.667,
LMG,LMG Chemicals Corporation,4.65 (1.09%),4.6,5.6 (20.43%),3.83,-830.357,
LOTO,Pacific Online Systems Corporation,9.56 (-4.40%),10,15.4 (61.09%),9.56,12.241,0.60 (6.28%)
LPZ,Lopez Holdings Corporation,3.76 (-3.09%),3.88,5.89 (56.65%),3.54,2.786,0.10 (2.66%)
LR,Leisure and Resorts World Corporation,2.83 (0.00%),2.83,7.49 (164.66%),2.48,3.75,
LRP,Leisure and Resorts World Corp.-Pref,1.03 (3.00%),1,1.14 (10.68%),1,,502000.09 (48737872.82%)
LRW,Leisure and Resorts World Corp.-Warrants,1.7 (1.19%),1.68,5.15 (202.94%),1.5,,
LSC,Lorenzo Shipping Corporation,0.65 (-1.52%),0.66,1.32 (103.08%),0.62,8.125,
LTG,"LT Group, Inc.",16.44 (-0.24%),16.48,25.3 (53.89%),12.78,26.951,
MA,"Manila Mining Corporation ""A""",0.0065 (-1.52%),0.0066,0.011 (69.23%),0.0065,325.00,
MAB,"Manila Mining Corporation ""B""",0.006 (0.00%),0.006,0.011 (83.33%),0.0052,300.00,
MAC,Macroasia Corporation,12.2 (-11.59%),13.8,23.08 (89.18%),11.8,45.185,
MACAY,"Macay Holdings, Inc.",8.89 (-6.42%),9.5,26.4 (196.96%),6.75,,0.12 (1.35%)
MAH,Metro Alliance Holdings & Equities Corp.,1.39 (6.92%),1.3,5.5 (295.68%),0.92,,
MAHB,Metro Alliance Holdings & Equities Corp.,1.4 (-3.45%),1.45,5.45 (289.29%),1.05,,
MARC,"Marcventures Holdings, Inc.",1.1 (-4.35%),1.15,1.9 (72.73%),1.05,2.391,
MAXS,"Max's Group, Inc.",9.5 (-1.96%),9.69,19.1 (101.05%),9.5,,
MB,Manila Bulletin Publishing Corp.,0.35 (0.00%),0.35,0.6 (71.43%),0.35,17.50,
MBC,Manila Broadcasting Company,14.3 (1.27%),14.12,24 (67.83%),8.32,,
MBT,Metropolitan Bank and Trust Company,71.95 (0.84%),71.35,104.97 (45.89%),64,12.278,
MED,"MEDCO Holdings, Inc.",0.47 (4.44%),0.45,0.7 (48.94%),0.42,,
MEG,Megaworld Corporation,4.74 (-0.42%),4.76,5.67 (19.62%),3.98,14.766,0.05 (1.05%)
MER,Manila Electric Company,388.8 (1.30%),383.8,395 (1.59%),291.4,22.952,8.93 (2.30%)
MFC,Manulife Financial Corporation,785 (-5.99%),835,1050 (33.76%),770,20.773,0.62 (0.08%)
MFIN,Makati Finance Corporation,2.72 (-9.03%),2.99,4.34 (59.56%),1.56,,0.03 (16.07%)
MG,"Millenium Global Holdings, Inc.",0.166 (0.00%),0.166,0.255 (53.61%),0.16,,
MHC,Mabuhay Holdings Corporation,0.54 (3.85%),0.52,0.84 (55.56%),0.26,72.00,
MJC,"Manila Jockey Club, Inc.",5.47 (-1.80%),5.57,6.82 (24.68%),3.25,"3,038.889",0.05 (0.91%)
